date,county,fips,place,confirmed_cases,new_cases,x,y,population,two_week_lag
2020-05-28,Los Angeles,37,Santa Monica,261,2,-118.481816,34.023052,92446,2
2020-05-29,Los Angeles,37,Santa Monica,267,6,-118.481816,34.023052,92446,0
2020-05-30,Los Angeles,37,Santa Monica,272,5,-118.481816,34.023052,92446,16
2020-05-31,Los Angeles,37,Santa Monica,278,6,-118.481816,34.023052,92446,1
2020-06-01,Los Angeles,37,Santa Monica,281,3,-118.481816,34.023052,92446,0
2020-06-02,Los Angeles,37,Santa Monica,284,3,-118.481816,34.023052,92446,2
2020-06-03,Los Angeles,37,Santa Monica,288,4,-118.481816,34.023052,92446,0
2020-06-04,Los Angeles,37,Santa Monica,293,5,-118.481816,34.023052,92446,1
2020-06-05,Los Angeles,37,Santa Monica,300,7,-118.481816,34.023052,92446,1
2020-06-06,Los Angeles,37,Santa Monica,300,0,-118.481816,34.023052,92446,4
2020-06-07,Los Angeles,37,Santa Monica,305,5,-118.481816,34.023052,92446,0
2020-06-08,Los Angeles,37,Santa Monica,306,1,-118.481816,34.023052,92446,5
2020-06-09,Los Angeles,37,Santa Monica,312,6,-118.481816,34.023052,92446,2
2020-06-10,Los Angeles,37,Santa Monica,313,1,-118.481816,34.023052,92446,3
2020-06-11,Los Angeles,37,Santa Monica,317,4,-118.481816,34.023052,92446,2
2020-06-12,Los Angeles,37,Santa Monica,322,5,-118.481816,34.023052,92446,6
2020-06-13,Los Angeles,37,Santa Monica,330,8,-118.481816,34.023052,92446,5
2020-06-14,Los Angeles,37,Santa Monica,337,7,-118.481816,34.023052,92446,6
2020-06-15,Los Angeles,37,Santa Monica,336,-1,-118.481816,34.023052,92446,3
2020-06-16,Los Angeles,37,Santa Monica,340,4,-118.481816,34.023052,92446,3
2020-06-17,Los Angeles,37,Santa Monica,340,0,-118.481816,34.023052,92446,4
2020-06-18,Los Angeles,37,Santa Monica,345,5,-118.481816,34.023052,92446,5
2020-06-19,Los Angeles,37,Santa Monica,349,4,-118.481816,34.023052,92446,7
2020-06-20,Los Angeles,37,Santa Monica,353,4,-118.481816,34.023052,92446,0
2020-06-21,Los Angeles,37,Santa Monica,356,3,-118.481816,34.023052,92446,5
2020-06-22,Los Angeles,37,Santa Monica,360,4,-118.481816,34.023052,92446,1
2020-06-23,Los Angeles,37,Santa Monica,366,6,-118.481816,34.023052,92446,6
2020-06-24,Los Angeles,37,Santa Monica,370,4,-118.481816,34.023052,92446,1
2020-06-25,Los Angeles,37,Santa Monica,382,12,-118.481816,34.023052,92446,4
2020-06-26,Los Angeles,37,Santa Monica,385,3,-118.481816,34.023052,92446,5
